"序号","代码","名称","涨跌幅","最新价","成交额","流通市值","总市值","换手率","封板资金","首次封板时间","最后封板时间","炸板次数","涨停统计","连板数","所属行业","交易日期","数据类型","动态市盈率","封单资金","板上成交额","连续跌停","开板次数","涨停价","涨速","振幅"
"1","002251","步步高","9.940357208251953","5.53","36612123","8369008299.68","14868509318.880001","0.4374726414680481","312427652.0","092500","092500","0.0","2|2","2.0","商业百货","2025-04-22","涨停","","","","","","","",""
"2","002537","海联金汇","9.955423355102539","7.4","139545130","8687723913.0","8687723964.800001","1.6062334775924683","335640690.0","092500","092500","0.0","2|2","2.0","汽车零部","2025-04-22","涨停","","","","","","","",""
"3","002640","跨境通","9.973752975463867","4.19","211385500","5854163254.190001","6528193164.320001","3.6108577251434326","206871613.0","092500","092500","0.0","9|5","2.0","贸易行业","2025-04-22","涨停","","","","","","","",""
"4","003003","天元股份","10.034305572509766","12.83","39686718","1489608315.56","2268322189.0","2.664238452911377","152416486.0","092500","092500","0.0","3|3","3.0","包装材料","2025-04-22","涨停","","","","","","","",""
"5","300542","新晨科技","20.028820037841797","16.66","17727456","4104779014.7","4974008000.64","0.4318735897541046","329460279.0","092500","092500","0.0","1|1","1.0","软件开发","2025-04-22","涨停","","","","","","","",""
"6","301486","致尚科技","20.004995346069336","48.05","34987848","3791387892.75","6183121809.75","0.9228242635726929","159686727.0","092500","092500","0.0","1|1","1.0","消费电子","2025-04-22","涨停","","","","","","","",""
"7","600794","保税科技","9.920635223388672","5.54","72559923","6648842949.78","6648842966.4","1.0913165807724","327674053.0","092500","092500","0.0","9|5","4.0","物流行业","2025-04-22","涨停","","","","","","","",""
"8","603173","福斯达","10.0","27.94","135191875","1384147600.0","4470400000.0","9.816364288330078","54870583.0","092500","093606","1.0","1|1","1.0","通用设备","2025-04-22","涨停","","","","","","","",""
"9","600308","华泰股份","10.13698673248291","4.02","130846546","6097818107.5199995","6097818107.5199995","2.1457929611206055","102909499.0","092502","092502","0.0","2|2","2.0","造纸印刷","2025-04-22","涨停","","","","","","","",""
"10","603086","先达股份","9.966776847839355","6.62","46050031","2878463006.66","2878462960.32","1.5998132228851318","247419203.0","092502","092502","0.0","2|2","2.0","农药兽药","2025-04-22","涨停","","","","","","","",""
"11","603839","安正时尚","9.948541641235352","6.41","33887106","2558949945.6","2558949945.6","1.3242582082748413","72972081.0","092502","092502","0.0","2|2","2.0","纺织服装","2025-04-22","涨停","","","","","","","",""
"12","600865","百大集团","10.008857727050781","12.42","255100391","4672904724.72","4672904774.4","5.464059352874756","96926263.0","092503","093427","1.0","3|3","3.0","商业百货","2025-04-22","涨停","","","","","","","",""
"13","002094","青岛金王","10.013531684875488","8.13","518179120","5613387353.370001","5616997097.76","9.235071182250977","342347991.0","093000","093000","0.0","2|2","2.0","美容护理","2025-04-22","涨停","","","","","","","",""
"14","000965","天保基建","9.977827072143555","4.96","1070587040","5504761239.2","5504761244.16","19.923128128051758","94659199.0","093018","101239","3.0","10|6","5.0","房地产开","2025-04-22","涨停","","","","","","","",""
"15","000632","三木集团","10.149253845214844","3.69","82527642","1717627126.1399999","1717767205.92","4.837725639343262","19186435.0","093030","093030","0.0","1|1","1.0","综合行业","2025-04-22","涨停","","","","","","","",""
"16","600119","长江投资","10.027472496032715","8.01","141501202","2925815663.7","2925815647.68","4.8599653244018555","28585278.0","093100","093100","0.0","1|1","1.0","物流行业","2025-04-22","涨停","","","","","","","",""
"17","603117","万林物流","9.965035438537598","6.29","236977032","3768953797.18","3768953809.76","6.318271636962891","13169121.0","093116","094016","2.0","1|1","1.0","物流行业","2025-04-22","涨停","","","","","","","",""
